gen	pop	freqMut	ScoefMut	DcoefMut	Ne	hmode	prod	U	rho	seed
40000	1	0.0288904	0.0007849	0.234751	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00883039	0.532416	0.00317212	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0216594	0.00542729	0.0894896	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.016128	0.00855634	0.0465746	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0414528	0.00152662	0.296857	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0754415	0.00250583	0.268904	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0109963	0.387428	0.014456	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00506498	0.0376296	0.128748	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0050983	0.119091	0.0071531	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.01986	0.00368048	0.313135	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00713096	0.000818292	0.228966	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.016961	0.0573596	0.0121917	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00743086	0.0393382	0.00248571	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.116295	6.50497e-05	0.288473	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0224592	0.00551967	0.424243	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00763079	0.0276875	0.0796068	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0622126	0.00124176	0.186591	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00919693	0.135338	0.00759849	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0122293	0.00286136	0.139354	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0341886	0.000920221	0.368124	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0144618	0.289849	0.00890261	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0399533	0.0707664	0.020553	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0056981	0.0157677	0.243853	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
